ID,question,category
729,Extract key content based on the background information and the conversation:Iron Man is starring Robert Downey Jr.Robert Downey Jr. starred in Zodiac (Crime Fiction Film)Zodiac (Crime Fiction Film) is starring Jake Gyllenhaal[Human]: Do you like Iron Man [Assistant]: Sure do! Robert Downey Jr. is a favorite. [Human]: Yes i like him too did you know he also was in Zodiac a crime fiction film. Only provide the simplified text as the answer.,dialogue
730,"Extract key content based on the background information and the conversation:The Secret Life of Bees has genre Teen drama. Teen drama has examples: A Walk to RememberA Walk to Remember is produced by Hunt LowryHunt Lowry produced A Walk to Remember. A Walk to Remember is a/an Film[Human]: Could you recommend any books like The Secret Life of Bees? [Assistant]: Yes, its a great teen book, have you heard about A walk to remember ? It is also a great teen drama [Human]: I think I have.. is that one with Hunt Lowry? Only provide the simplified text as the answer.",dialogue
731,"Extract key content based on the background information and the conversation:Michael Jackson wrote Dancing the DreamDancing the Dream is written by Michael Jackson. Michael Jackson : `Award Won`: Grammy Award for Album of the YearMichael Jackson : `~Lyricist`: Heal the World[Human]: Do you like Michael Jackson? [Assistant]: I do he was very talented and an all around performer. He wrote Dancing on the Dream which is one of my favorites.  [Human]: Yes, he was very talented indeed. He also won Grammy of the Year, possibly more than once Only provide the simplified text as the answer.",dialogue
732,Extract key content based on the background information and the conversation:Dead to the World is written by Charlaine Harris[Human]: Could you recommend books similar to Dead to the World? Only provide the simplified text as the answer.,dialogue
733,"Extract key content based on the background information and the conversation:Ryan Reynolds starred in TurboTurbo is starring Snoop DoggSnoop Dogg starred in Turbo[Human]: Could you recommend a good movie with Ryan Reynolds? [Assistant]: Sure! He starred in X-Men Origins:Wolverine, and Turbo. The Proposal was a great movie too. [Human]: Who else was starring in Turbo, I think I saw there Snoop Dog? Only provide the simplified text as the answer.",dialogue
734,Extract key content based on the background information and the conversation:Home Alone is written by John Hughes. John Hughes wrote Ferris Bueller's Day Off[Human]: I like Home Alone could you give me recommendations based on this one [Human]: I need recommendations based on the movie Home Alone [Assistant]: Do you like it because it's a family film? [Human]: because it is funny Only provide the simplified text as the answer.,dialogue
735,Extract key content based on the background information and the conversation:Neal Stephenson wrote ZodiacZodiac is written by Neal StephensonNeal Stephenson wrote The System of the World[Human]: Could you recommend any good books by Neal Stephenson? [Assistant]: He Wrote Zodiac [Human]: Could you tell me about books similar to Zodiac? That book is vaguely familar. Only provide the simplified text as the answer.,dialogue
736,"Extract key content based on the background information and the conversation:The Martian is starring Matt Damon[Human]: I like the movie ""The Martian"", could you recommend a movie similar to it? [Assistant]: Do you like The Martian because it stars Matt Damon? [Human]: I like the movie because of its story line. [Assistant]: Matt Damon also starred in The Bourne Ultimatum which is Crime Fiction Film [Human]: I have not seen that movie yet. i do like Crime Fiction so I think that is a great choice. Thank you Only provide the simplified text as the answer.",dialogue
737,"Extract key content based on the background information and the conversation:Harper Lee wrote To Kill a MockingbirdTo Kill a Mockingbird : `Subject`: Drama. Drama has examples: Dark ShadowsDark Shadows is written by Seth Grahame-Smith[Human]: Do you know anything about the author Harper Lee? [Assistant]: He wrote To Kill a Mockingbird, and Go set a Watchman. [Human]: I like that book. Do you think its along the same lines as Dark Shadow?  Only provide the simplified text as the answer.",dialogue
738,Extract key content based on the background information and the conversation:Pulp Fiction is written by Roger AvaryRoger Avary wrote The Rules of Attraction. The Rules of Attraction is starring Swoosie KurtzThe Rules of Attraction is starring Fred Savage[Human]: I like Pulp Fiction. What do you think about it? [Assistant]: I love it. It was written by  Roger Avary [Human]: I heard he also wrote The Rules of Attraction. Do you know who is in that movie? Only provide the simplified text as the answer.,dialogue
739,Extract key content based on the background information and the conversation:Fight Club is starring Jared Leto. Jared Leto starred in Panic Room[Human]: Could you recommend some movies similar to Fight Club? Only provide the simplified text as the answer.,dialogue
740,"Extract key content based on the background information and the conversation:San Francisco Giants : `~Team Owned`: Bill Neukom[Human]: Do you know anything about the San Francisco Giants? [Assistant]: Yes, it was owned by Bill Neukom and it's a Major League Baseball team.  [Human]: Can you tell me about him and owing the the Baseball team?  [Assistant]: He is former managing general partner of the San Francisco Giants baseball team ownership group. He held this position from May 2008 to December 31, 2011 and he was the managing partner when the Giants won the World Series in 2010 [Human]: Does he still own the team? Only provide the simplified text as the answer.",dialogue
741,"Extract key content based on the background information and the conversation:Wreck-It Ralph is starring Rich Moore[Human]: Could you recommend something like Wreck-It Ralph for me to watch with my kids? [Assistant]: Sure! Wreck-It Ralph was written by Rich Moore who also stars in it along side Sarah Silverman,its an animated film. Do you like Animated films? [Human]: Yes, animated films are what I'm looking for. [Assistant]: Another good Animated Film he directed is James and the Giant Peach. Have you seen this family movie yet? [Human]: I saw it many years ago, but I'd like to watch it again! Only provide the simplified text as the answer.",dialogue
742,Extract key content based on the background information and the conversation:Yann Martel wrote Beatrice and VirgilBeatrice and Virgil was released 2010. 2010 is written by Arthur C. Clarke[Human]: do you have books by Yann Martel? [Assistant]: He wrote Life of Pi and Beatrice and Virgil. Have you read either of those ? [Human]: no. Beatrice and Virgil sounds good. when was it released? Only provide the simplified text as the answer.,dialogue
743,Extract key content based on the background information and the conversation:Manny Pacquiao starred in Wam Bam Pac's The ManWam Bam Pac's The Man is starring Manny Pacquiao. Manny Pacquiao : `~Fighter`: Oscar De La Hoya vs. Manny Pacquiao[Human]: Do you know of Manny Pacquiao? [Assistant]: I know that she starred in Wam Bam Pac's The Man [Human]: Really? I'm guessing he starred as a featherweight fighter?  Only provide the simplified text as the answer.,dialogue
744,"Extract key content based on the background information and the conversation:Ten Little Niggers is written by Agatha ChristieAgatha Christie wrote They Do it with MirrorsThey Do it with Mirrors is written by Agatha Christie. Agatha Christie : `~Influenced By`: P. D. James[Human]: Can you please recommend books like the Ten Little Niggers? [Assistant]: It was written by Agatha Christie and released in 1939 [Human]: I am a fan of  Agatha Christie! Do you have other books written by her? [Assistant]: Yes she wrote quite a few, including Evil Under the Sun, Elephants Can Remember and Death on the Nile [Human]: Cool! Go on with the list of her books please. Only provide the simplified text as the answer.",dialogue
745,"Extract key content based on the background information and the conversation:Ellen Forney wrote The Absolutely True Diary of a Part-Time Indian. The Absolutely True Diary of a Part-Time Indian : `Subject`: Adolescence[Human]: Could you recommend some Ellen Forney books? My friend reads her but I've never heard of her. [Assistant]: the absolutely true diary of a part time Indian was her most popular [Human]: When did that come out and what genre is it? [Assistant]: It is a good book for adolescence but anyone might enjoy it [Human]: Ok thanks, I'll check that one out. Only provide the simplified text as the answer.",dialogue
