ID,source,question,procedure,answer
217,MINTQA-POP,"Read the following context: ['Oregon legislative body legislative assembly, Oregon part of Northwestern United States, Oregon located in the administrative territorial entity Ogle County, Oregon capital Salem, Oregon shares border with Arizona, Oregon located in the administrative territorial entity United, Oregon head of government Kate Brown, Oregon located in the administrative territorial entity United States of America, Oregon located in the administrative territorial entity Holt County, Oregon sport college football, Oregon country U-S-A!, Oregon shares border with Ripley, Oregon located in or next to body of water Willamette River, Oregon located in the administrative territorial entity American, Oregon located in the administrative territorial entity Holt County, Oregon legislative body house, Oregon shares border with Idaho, Oregon legislative body legislature, Oregon legislative body Oregon House of Representatives, Oregon language used Umatilla, Oregon located in or next to body of water California, Oregon language used Klamath, Oregon country American ethnicity, Oregon record label CAM Jazz, Oregon legislative body Oregon Territorial Legislature, Oregon located in or next to body of water Calapooia River, Oregon instance of ghost town, Oregon shares border with Wyoming, Oregon shares border with British Columbia, Oregon replaces Oregon Territory, Oregon located in or next to body of water Pacific Ocean, Oregon inception 1905, Oregon located in the administrative territorial entity Tennessee, Oregon shares border with California, Oregon shares border with Washington, Oregon shares border with Utah, Oregon located in the administrative territorial entity Union, Oregon member of Pac-12 Conference, Oregon shares border with Shannon, Oregon instance of Indigenous languages of the Americas, Oregon located in or next to body of water Columbia River, Oregon capital Eugene, Oregon continent North America, Oregon located in the administrative territorial entity Boone County, Oregon legislative body Oregon Legislative Assembly, Oregon located in the administrative territorial entity Baltimore County, Oregon located in or next to body of water Pacific coast, Oregon contains Wasco, Oregon located in the administrative territorial entity Missouri, Oregon located in the administrative territorial entity Kentucky, Oregon service entry 1845, Oregon instance of U.S. state, Oregon shares border with Montana, Oregon located in or next to body of water Snake River, Oregon located in or next to body of water Willamette, Oregon country United States of America, Oregon located in or next to body of water Missouri River, Oregon highest point Mount Hood, Oregon record label ECM'] Now please respond: Which country is Oregon located in?","[['Oregon', 'country', 'United States of America']]",United States of America
218,MINTQA-POP,"Read the following context: ['Southern Tablelands country Australia, Southern Tablelands located in the administrative territorial entity New South Wales'] Now please respond: Which country is the Southern Tablelands located in?","[['Southern Tablelands', 'country', 'Australia']]",Australia
219,MINTQA-POP,"Read the following context: ['Kasaragod district located in the administrative territorial entity Kerala, Kasaragod district country India, Kasaragod district located in the administrative territorial entity India, Kasaragod district capital Kasaragod'] Now please respond: Which country is Kasaragod district located in?","[['Kasaragod district', 'country', 'India']]",India
220,MINTQA-POP,"Read the following context: ['New South Wales Legislative Assembly applies to jurisdiction New South Wales, New South Wales Legislative Assembly member of political party protectionism, New South Wales Legislative Assembly part of legislative council, New South Wales Legislative Assembly applies to jurisdiction Colony of New South Wales, New South Wales Legislative Assembly part of Parliament of New South Wales, New South Wales Legislative Assembly applies to jurisdiction Southern  District, New South Wales Legislative Assembly part of parliament, New South Wales Legislative Assembly office held by head of the organization Speaker of the Legislative Assembly, New South Wales Legislative Assembly country Colonial period, New South Wales Legislative Assembly country Australia, New South Wales Legislative Assembly inception 1856, New South Wales Legislative Assembly part of Assembly, New South Wales Legislative Assembly part of legislative assembly'] Now please respond: Which country is the New South Wales Legislative Assembly located in?","[['New South Wales Legislative Assembly', 'country', 'Australia']]",Australia
221,MINTQA-POP,"Read the following context: ['Chechnya country Chechen, Chechnya located in the administrative territorial entity Chechnya, Chechnya part of North Caucasus, Chechnya part of North Caucasian Federal District, Chechnya shares border with Ingushetia, Chechnya office held by head of government Head of the Chechen Republic, Chechnya instance of republic, Chechnya instance of autonomous republic, Chechnya part of Post-Soviet states, Chechnya instance of Russian Republic, Chechnya head of government Ramzan Kadyrov, Chechnya country Russia, Chechnya part of North Caucasus, Chechnya shares border with Dagestan, Chechnya shares border with Georgia, Chechnya inception 1832, Chechnya shares border with Stavropol Krai, Chechnya capital Grozny, Chechnya located in the administrative territorial entity Russia, Chechnya shares border with North Ossetia–Alania, Chechnya head of government Akhmad Kadyrov, Chechnya head of state Ramzan Kadyrov, Chechnya instance of administrative territorial entity, Chechnya language used Chechen'] Now please respond: Which country is Chechnya a part of?","[['Chechnya', 'country', 'Russia']]",Russia
222,MINTQA-POP,"Read the following context: ['West Bengal capital Salt Lake City, West Bengal language used Khotta Bhasha, West Bengal shares border with Satkhira District, West Bengal legislative body legislature, West Bengal shares border with Assam, West Bengal shares border with Bhutan, West Bengal language used Bengali, West Bengal country India, West Bengal shares border with North Bengal, West Bengal legislative body West Bengal Legislative Assembly, West Bengal shares border with Andhra Pradesh, West Bengal capital Kolkata, West Bengal language used Bangla, West Bengal part of East India, West Bengal shares border with Sikkim, West Bengal shares border with Chhattisgarh, West Bengal office held by head of government list of Chief Ministers of West Bengal, West Bengal located in the administrative territorial entity India, West Bengal shares border with Jharkhand, West Bengal language used Kudmali, West Bengal shares border with Bangladesh, West Bengal head of government Mamata Banerjee, West Bengal shares border with Khulna Division, West Bengal shares border with Bihar, West Bengal shares border with Maharashtra, West Bengal legislative body member of a legislative assembly, West Bengal located in the administrative territorial entity Bihar, West Bengal owned by All India Football Federation, West Bengal shares border with Delhi, West Bengal shares border with Uttar Pradesh, West Bengal shares border with Odisha, West Bengal shares border with Mizoram, West Bengal language used Manbhumi, West Bengal language used Mal Paharia, West Bengal authority Government of West Bengal, West Bengal office held by head of government chief minister'] Now please respond: Which country is West Bengal a part of?","[['West Bengal', 'country', 'India']]",India
223,MINTQA-POP,"Read the following context: ['defensive end sport football codes, defensive end sport Tennessee Volunteers football, defensive end sport North Carolina Tar Heels football, defensive end sport gridiron football, defensive end sport Minnesota Golden Gophers football, defensive end sport Florida State Seminoles football, defensive end sport American football, defensive end sport South Carolina State Bulldogs football, defensive end sport Texas Longhorns football, defensive end sport Oregon State Beavers football, defensive end sport Illinois Fighting Illini football, defensive end sport Chicago Bears, defensive end sport Arizona State Sun Devils football, defensive end sport college football, defensive end sport San Diego State Aztecs football, defensive end sport Michigan Wolverines football, defensive end sport Notre Dame Fighting Irish football, defensive end sport Nebraska Cornhuskers football, defensive end sport Washington Huskies football, defensive end sport Oklahoma State Cowboys football, defensive end instance of End, defensive end sport UCLA Bruins football, defensive end sport Navy Midshipmen football, defensive end sport TCU Horned Frogs football, defensive end sport Boston College Eagles football, defensive end sport Ole Miss Rebels football, defensive end sport Alabama Crimson Tide football, defensive end sport Penn State Nittany Lions football, defensive end sport Florida Gators football, defensive end sport American ethnicity'] Now please respond: Which sport features the position of defensive end?","[['defensive end', 'sport', 'American football']]",American football
224,MINTQA-POP,"Read the following context: ['Loir-et-Cher capital Blois, Loir-et-Cher located in the administrative territorial entity Center, Loir-et-Cher shares border with Eure-et-Loir, Loir-et-Cher instance of department of France, Loir-et-Cher located in the administrative territorial entity Centre-Val de Loire, Loir-et-Cher country France, Loir-et-Cher located in or next to body of water Loir, Loir-et-Cher instance of Department'] Now please respond: In which country is Loir-et-Cher located?","[['Loir-et-Cher', 'country', 'France']]",France
225,MINTQA-POP,"Read the following context: ['NASCAR Cup Series point in time 1964, NASCAR Cup Series organizer 1949 NASCAR Strictly Stock Series, NASCAR Cup Series sports season of league or competition NASCAR Cup Series, NASCAR Cup Series country United States of America, NASCAR Cup Series inception 1997, NASCAR Cup Series inception 1948, NASCAR Cup Series sport stock car racing, NASCAR Cup Series point in time 2025, NASCAR Cup Series sports season of league or competition NASCAR, NASCAR Cup Series sport auto racing, NASCAR Cup Series organizer NASCAR, NASCAR Cup Series sport motorsport, NASCAR Cup Series inception 1949'] Now please respond: What sport is associated with the NASCAR Cup Series?","[['NASCAR Cup Series', 'sport', 'stock car racing']]",stock car racing
226,MINTQA-POP,"Read the following context: [""Alpes-Maritimes shares border with Var, Alpes-Maritimes instance of department of France, Alpes-Maritimes located in the administrative territorial entity French Riviera, Alpes-Maritimes country Italy, Alpes-Maritimes capital Nice, Alpes-Maritimes instance of Department, Alpes-Maritimes instance of Var, Alpes-Maritimes shares border with Alpes-de-Haute-Provence, Alpes-Maritimes located in or next to body of water Mediterranean Sea, Alpes-Maritimes located in the administrative territorial entity Provence-Alpes-C?te d'Azur, Alpes-Maritimes country France, Alpes-Maritimes located in the administrative territorial entity Metropole Nice Cote d'Azur""] Now please respond: Which country is Alpes-Maritimes located in?","[['Alpes-Maritimes', 'country', 'France']]",France
